"date","geo","time","gprop","category","name","Travel","Holiday","Labor","Unemployment","Loan","Washing_machine","Fridge","BMW","Mercedes","Fashion","year","month"
"2020-08-23","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,18,0,0,0,0,31,9,17,21,2020,8
"2020-08-30","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,12,0,43,12,21,0,2020,8
"2020-09-06","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,0,0,0,0,0,5,16,0,2020,9
"2020-09-13","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",18,37,0,0,0,0,0,9,20,0,2020,9
"2020-09-20","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,38,0,75,0,0,0,5,0,17,2020,9
"2020-09-27","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,14,0,24,16,21,23,17,22,0,2020,9
"2020-10-04","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,17,0,11,28,0,6,47,0,2020,10
"2020-10-11","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,16,0,0,0,0,0,0,47,0,2020,10
"2020-10-18","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",28,5,0,27,0,0,0,7,18,0,2020,10
"2020-10-25","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,9,19,0,0,0,0,10,0,0,2020,10
"2020-11-01","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,12,0,0,0,24,28,9,0,35,2020,11
"2020-11-08","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,17,0,0,0,42,0,4,0,0,2020,11
"2020-11-15","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,10,0,22,0,17,0,0,0,36,2020,11
"2020-11-22","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",35,5,0,17,0,30,0,3,24,0,2020,11
"2020-11-29","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,64,0,0,22,0,52,11,27,29,2020,11
"2020-12-06","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,99,0,0,0,0,0,0,0,0,2020,12
"2020-12-13","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",19,100,0,0,0,18,0,14,24,14,2020,12
"2020-12-20","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,73,0,0,0,0,36,10,21,0,2020,12
"2020-12-27","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",17,57,0,0,0,100,0,7,43,32,2020,12
"2021-01-03","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,19,19,33,0,57,24,12,0,28,2021,1
"2021-01-10","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,0,0,17,29,17,8,0,0,2021,1
"2021-01-17","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,15,0,0,0,0,26,8,40,0,2021,1
"2021-01-24","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",16,13,0,0,7,21,0,5,19,0,2021,1
"2021-01-31","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,0,4,0,24,2021,1
"2021-02-07","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,0,15,0,0,0,6,0,26,2021,2
"2021-02-14","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",61,10,13,0,0,19,0,3,18,0,2021,2
"2021-02-21","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",40,19,0,0,0,0,0,4,12,0,2021,2
"2021-02-28","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,22,0,0,0,17,0,4,0,19,2021,2
"2021-03-07","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",26,15,0,0,0,0,0,12,0,63,2021,3
"2021-03-14","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,4,0,0,17,0,18,0,40,0,2021,3
"2021-03-21","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,18,45,0,0,18,0,4,0,0,2021,3
"2021-03-28","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,8,17,0,8,46,0,12,0,0,2021,3
"2021-04-04","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,24,14,0,0,0,0,11,13,0,2021,4
"2021-04-11","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,27,0,27,0,17,0,5,0,18,2021,4
"2021-04-18","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,35,0,8,0,0,17,22,0,2021,4
"2021-04-25","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",28,20,0,0,0,30,0,3,0,0,2021,4
"2021-05-02","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,15,0,0,11,0,0,0,30,0,2021,5
"2021-05-09","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",45,24,49,0,0,0,0,0,0,0,2021,5
"2021-05-16","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",20,14,0,0,0,27,22,0,0,31,2021,5
"2021-05-23","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",51,18,0,28,0,26,0,3,16,35,2021,5
"2021-05-30","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,19,57,0,22,0,0,6,0,0,2021,5
"2021-06-06","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",31,16,0,0,14,0,47,14,0,0,2021,6
