Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Moldova,MDA,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,1299303000,1828498000,1475369000,1211883000,1335236000,1650126000,2019542000,1992389000,2308779000,2603684000
Moldova,MDA,"Use of IMF credit (DOD, current US$)",DT.DOD.DIMF.CD,792877877.9,772647731.4,698980331,628225114.8,573775582.6,562167019.6,495514001.9,457511992.6,668846272.9,911954350.8
Moldova,MDA,"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS,,,,,,,,,,
Moldova,MDA,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,38549999.24,85169998.17,123330001.8,88800003.05,26850000.38,27430000.31,34090000.15,35020000.46,31229999.54,41080001.83
Moldova,MDA,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",DC.DAC.SVKL.CD,400000.006,430000.0072,689999.9976,850000.0238,460000.0083,889999.9857,779999.9714,1000000,1029999.971,939999.9976
Moldova,MDA,"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,5110000.134,5670000.076,8810000.42,5639999.866,5349999.905,2839999.914,2619999.886,2000000,1330000.043,1080000.043
Moldova,MDA,"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,3960000.038,4420000.076,26299999.24,37009998.32,2720000.029,5530000.21,1210000.038,959999.9785,1259999.99,2220000.029
Moldova,MDA,"Net bilateral aid flows from DAC donors, Hungary (current US$)",DC.DAC.HUNL.CD,100000.0015,439999.9976,70000.0003,100000.0015,150000.006,140000.0006,379999.9952,550000.0119,850000.0238,2180000.067
Moldova,MDA,"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,889999.9857,990000.0095,1330000.043,1389999.986,1139999.986,1080000.043,639999.9857,370000.0048,540000.0215,589999.9738
Moldova,MDA,"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD,268821.5077,153708.1152,41482.94032,60470.99829,61779.8008,63400.00033,43249.39847,82985.28194,,
Moldova,MDA,"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,-5295000,1700000,-3651000,-4990000,-2434000,-478000,728000,429000,,-396000
