regcode,date,Labor,Unemployment,Investment,Loan,Economy,Interest_rate,Inflation,Bankruptcy,Export,Mortgage_loan,Baggage,Holiday,BMW,Mercedes,McDonalds,Calvin_Klein,Gucci,Emigration,Washing_machine,Fridge,Sony,apple,Fitness,Recruitment,Travel,Savings,Computer_security,Unemployment_benefits,Fashion,MBA_degree
UA-07,7/1/2014,18,0,20,47,56,0,0,0,21,80,0,9,30,30,0,0,24,,52,56,27,27,14,0,58,0,0,0,20,0
UA-07,8/1/2014,21,24,36,0,18,0,14,59,0,0,0,11,29,58,0,0,20,,59,42,23,34,24,0,13,0,11,36,39,0
UA-07,9/1/2014,42,0,0,0,31,41,19,22,47,75,17,13,33,45,0,0,0,,47,32,23,51,21,0,26,0,25,46,35,40
UA-07,10/1/2014,40,0,0,20,37,0,20,0,21,35,0,13,40,15,5,0,0,,9,48,30,33,24,0,22,12,26,0,21,21
UA-07,11/1/2014,42,0,10,0,43,0,30,0,18,28,0,11,27,6,6,0,0,,56,34,15,29,36,0,49,17,0,0,38,0
UA-07,12/1/2014,25,0,20,0,21,0,0,36,39,29,0,15,31,26,4,0,0,,72,24,22,14,38,0,39,24,0,50,22,34
UA-07,1/1/2015,31,0,14,0,34,0,16,17,32,0,0,9,29,29,0,21,0,,23,14,22,28,51,0,34,28,0,0,31,0
UA-07,2/1/2015,24,0,0,0,26,0,19,56,0,98,0,7,27,20,5,0,0,,29,18,20,31,32,0,23,0,0,0,41,27
UA-07,3/1/2015,39,0,37,0,37,20,0,20,41,29,14,7,27,37,0,47,24,,62,37,17,22,39,8,19,22,16,0,38,0
UA-07,4/1/2015,27,82,24,0,19,0,16,31,19,0,0,13,32,43,0,0,10,,72,25,32,22,0,0,47,15,23,0,40,0
UA-07,5/1/2015,38,0,30,30,21,38,30,50,58,0,17,19,34,35,0,0,0,,35,23,17,58,39,8,13,29,0,0,27,0
UA-07,6/1/2015,29,29,12,20,32,0,0,24,20,0,36,8,37,38,0,0,0,,17,33,29,16,14,0,16,22,0,0,40,13
UA-07,7/1/2015,12,0,0,0,9,0,0,29,0,0,0,8,38,30,0,0,0,,35,32,6,33,19,0,29,0,13,0,34,0
UA-07,8/1/2015,25,18,0,0,18,0,12,16,31,0,0,14,38,34,4,21,0,,41,52,25,39,23,9,29,0,20,0,27,0
UA-07,9/1/2015,36,60,0,0,25,0,17,0,0,0,15,18,45,32,8,24,0,,0,46,15,39,12,0,27,0,0,0,29,0
UA-07,10/1/2015,26,0,0,16,26,0,0,0,30,0,11,16,28,34,4,0,10,,22,22,26,46,42,0,35,0,0,0,37,0
UA-07,11/1/2015,32,21,9,30,29,30,11,0,23,0,0,13,39,47,12,33,0,,40,33,12,32,27,0,23,17,0,0,48,8
UA-07,12/1/2015,37,15,18,0,22,24,6,23,24,24,0,17,37,26,3,0,23,,39,19,12,29,24,0,20,9,0,0,35,0
UA-07,1/1/2016,3,0,8,0,25,0,14,14,24,0,0,10,45,31,11,0,0,,45,40,11,33,14,0,35,0,6,0,34,0
UA-07,2/1/2016,40,37,31,20,35,0,21,0,0,0,7,10,41,27,0,34,0,,37,26,25,30,45,0,29,0,17,0,36,0
UA-07,3/1/2016,40,12,20,0,28,0,5,21,36,0,0,9,42,30,0,0,8,,37,30,19,34,26,3,28,18,0,0,31,0
UA-07,4/1/2016,34,23,19,30,26,0,30,12,28,0,11,10,35,29,5,0,0,,34,34,22,28,39,0,40,0,0,26,34,10
