regname;regcode;year;month;count_0;count_4;min_0;min_4;max_0;max_4;mean_0;mean_4;sum_0;sum_4;nodata_0;nodata_4;median_0;median_4;std_0;std_4;percentile_90_0;percentile_90_4
 Basarabeasca;MDA.3_1;2022;12;2101;2101;0;0;40.0;31.0;0.25654450261780104;3.412.660.637.791.520;539.0;7170.0;0;0;0;5.0;2.063.107.469.058.690;30.935.919.111.025.600;0;6.0
 Bender;MDA.4_1;2022;1;580;580;0;0;282.0;214.0;2.721.206.896.551.720;28.798.275.862.068.900;15783.0;16703.0;0;0;6.0;10.0;4.504.428.693.380.050;3.950.332.588.084.240;9.210.000.000.000.000;87.0
 Bender;MDA.4_1;2022;2;580;580;0;0;275.0;170.0;23.144.827.586.206.800;18.444.827.586.206.800;13424.0;10698.0;0;0;5.0;7.0;3.873.775.300.309.620;2.681.305.762.968.910;7.410.000.000.000.000;51.0
 Bender;MDA.4_1;2022;3;580;580;0;0;208.0;169.0;18.325.862.068.965.500;1.648.103.448.275.860;10629.0;9559.0;0;0;5.0;6.0;30.653.216.405.150.200;26.576.590.404.913.400;58.0;49.0
 Bender;MDA.4_1;2022;4;580;580;0;0;232.0;142.0;1.943.448.275.862.060;15.644.827.586.206.800;11272.0;9074.0;0;0;0;7.0;33.950.280.846.556.200;24.236.152.622.390.100;5.810.000.000.000.000;4.310.000.000.000.000
 Bender;MDA.4_1;2022;5;580;580;0;0;198.0;179.0;1.772.586.206.896.550;1.823.448.275.862.060;10281.0;10576.0;0;0;6.0;8.0;2.941.766.452.874.530;2.560.873.067.532.680;53.0;46.200.000.000.000.000
 Bender;MDA.4_1;2022;6;580;580;0;0;187.0;165.0;19.May;1.990.344.827.586.200;11049.0;11544.0;0;0;7.0;9.0;29.505.743.158.075.900;26.462.158.834.425.400;5.910.000.000.000.000;55.0
 Bender;MDA.4_1;2022;7;580;580;0;0;160.0;146.0;16.925.862.068.965.500;1.705.344.827.586.200;9817.0;9891.0;0;0;6.0;8.0;2.614.850.862.988.520;24.061.535.447.876.000;51.0;47.0
 Bender;MDA.4_1;2022;8;580;580;0;0;135.0;124.0;15.796.551.724.137.900;15.725.862.068.965.500;9162.0;9121.0;0;0;7.0;7.0;23.027.195.058.176.800;20.527.333.000.633.700;43.0;39.0
 Bender;MDA.4_1;2022;9;580;580;0;0;150.0;134.0;16.162.068.965.517.200;15.679.310.344.827.500;9374.0;9094.0;0;0;6.0;8.0;24.413.279.509.501.300;20.931.017.724.244.800;48.0;4.210.000.000.000.000
 Bender;MDA.4_1;2022;10;580;580;0;0;150.0;167.0;15.081.034.482.758.600;15.351.724.137.931.000;8747.0;8904.0;0;0;6.0;6.0;23.890.886.712.203.900;24.060.493.025.155.400;45.0;4.210.000.000.000.000
 Bender;MDA.4_1;2022;11;580;580;0;0;215.0;152.0;15.779.310.344.827.500;12.958.620.689.655.100;9152.0;7516.0;0;0;5.0;6.0;28.192.556.847.390.400;2.007.636.313.474.610;47.0;3.610.000.000.000.000
 Bender;MDA.4_1;2022;12;580;580;0;0;156.0;99.0;15.125.862.068.965.500;1.630.344.827.586.200;8773.0;9456.0;0;0;6.0;9.0;23.521.003.529.089.800;16.514.496.928.427.700;46.0;3.810.000.000.000.000
 Briceni;MDA.5_1;2022;1;6141;6141;0;0;80.0;55.0;21.191.988.275.525.100;23.058.133.854.421.100;13014.0;14160.0;0;0;0;0;5.972.672.207.414.410;4.773.551.175.586.870;6.0;7.0
 Briceni;MDA.5_1;2022;2;6141;6141;0;0;57.0;65.0;0.7850512945774304;14.163.816.967.920.500;4821.0;8698.0;0;0;0;0;39.034.568.896.605.600;4.170.958.128.734.900;0;5.0
 Briceni;MDA.5_1;2022;3;6141;6141;0;0;62.0;65.0;0.8718449763882103;11.752.157.629.050.600;5354.0;7217.0;0;0;0;0;4.311.214.741.184.280;4.404.692.244.225.840;0;5.0
 Briceni;MDA.5_1;2022;4;6141;6141;0;0;75.0;65.0;0.93584106822993;14.722.357.922.162.500;5747.0;9041.0;0;0;0;0;475.819.336.175.876;4.636.475.890.133.270;0;6.0
 Briceni;MDA.5_1;2022;5;6141;6141;0;0;73.0;59.0;1.076.534.766.324.700;25.363.947.239.863.200;6611.0;15576.0;0;0;0;0;4.610.156.877.526.600;4.910.153.778.167.710;0;7.0
 Briceni;MDA.5_1;2022;6;4394;4394;0;0;76.0;78.0;39.431.042.330.450.600;66.165.225.307.237.100;17326.0;29073.0;1747.0;1747.0;0;6.0;6.293.998.992.513.850;7.065.897.644.857.220;9.0;13.0
 Briceni;MDA.5_1;2022;7;6141;6141;0;0;80.0;61.0;1.253.541.768.441.620;18.259.241.165.933.800;7698.0;11213.0;0;0;0;0;4.949.479.920.611.470;48.433.683.910.959.600;5.0;6.0
 Briceni;MDA.5_1;2022;8;6141;6141;0;0;56.0;49.0;12.489.822.504.478.000;28.726.591.760.299.600;7670.0;17641.0;0;0;0;0;4.404.485.917.324.180;4.239.577.091.980.940;5.0;7.0
 Briceni;MDA.5_1;2022;9;6141;6141;0;0;63.0;57.0;0.9164631167562286;1.747.923.790.913.530;5628.0;10734.0;0;0;0;0;4.249.086.716.222.990;39.336.581.585.644.500;0;6.0
 Briceni;MDA.5_1;2022;10;6141;6141;0;0;54.0;44.0;0.6752971828692396;0.8821038918742876;4147.0;5417.0;0;0;0;0;35.133.111.053.650.100;33.027.906.173.213.000;0;0
 Briceni;MDA.5_1;2022;11;6141;6141;0;0;54.0;42.0;0.6117896108125712;10.556.912.554.958.400;3757.0;6483.0;0;0;0;0;34.290.564.319.805.800;33.025.517.412.575.800;0;5.0
 Briceni;MDA.5_1;2022;12;6141;6141;0;0;52.0;46.0;0.5687998697280573;18.265.754.763.067.900;3493.0;11217.0;0;0;0;0;33.244.511.701.893.600;3.915.827.924.528.430;0;6.0
 Cahul;MDA.6_1;2022;1;9744;9744;0;0;206.0;262.0;12.349.137.931.034.400;25.361.247.947.454.800;12033.0;24712.0;21.0;21.0;0;0;920.279.461.958.716;9.854.562.699.625.310;0;6.0
 Cahul;MDA.6_1;2022;2;9743;9743;0;0;203.0;198.0;1.395.052.858.462.480;19.140.921.687.365.200;13592.0;18649.0;22.0;22.0;0;0;9.835.203.960.480.170;991.957.340.222.419;0;5.0
